"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - 10 years maturity, denominated in Euro - Germany (IRS.M.DE.L.L40.CI.0000.EUR.N.Z)"
"1990-01-31","1990Jan","7.63"
"1990-02-28","1990Feb","8.43"
"1990-03-31","1990Mar","8.67"
"1990-04-30","1990Apr","8.70"
"1990-05-31","1990May","8.74"
"1990-06-30","1990Jun","8.82"
"1990-07-31","1990Jul","8.58"
"1990-08-31","1990Aug","8.90"
"1990-09-30","1990Sep","9.09"
"1990-10-31","1990Oct","9.09"
"1990-11-30","1990Nov","8.95"
"1990-12-31","1990Dec","8.85"
"1991-01-31","1991Jan","8.94"
"1991-02-28","1991Feb","8.42"
"1991-03-31","1991Mar","8.41"
"1991-04-30","1991Apr","8.39"
"1991-05-31","1991May","8.39"
"1991-06-30","1991Jun","8.39"
"1991-07-31","1991Jul","8.61"
"1991-08-31","1991Aug","8.56"
"1991-09-30","1991Sep","8.45"
"1991-10-31","1991Oct","8.36"
"1991-11-30","1991Nov","8.34"
"1991-12-31","1991Dec","8.24"
"1992-01-31","1992Jan","7.98"
"1992-02-29","1992Feb","7.92"
"1992-03-31","1992Mar","8.00"
"1992-04-30","1992Apr","8.04"
"1992-05-31","1992May","8.08"
"1992-06-30","1992Jun","8.06"
"1992-07-31","1992Jul","8.12"
"1992-08-31","1992Aug","8.08"
"1992-09-30","1992Sep","7.71"
"1992-10-31","1992Oct","7.47"
"1992-11-30","1992Nov","7.38"
"1992-12-31","1992Dec","7.33"
"1993-01-31","1993Jan","7.15"
"1993-02-28","1993Feb","6.94"
"1993-03-31","1993Mar","6.66"
"1993-04-30","1993Apr","6.68"
"1993-05-31","1993May","6.83"
"1993-06-30","1993Jun","6.81"
"1993-07-31","1993Jul","6.62"
"1993-08-31","1993Aug","6.41"
"1993-09-30","1993Sep","6.20"
"1993-10-31","1993Oct","6.00"
"1993-11-30","1993Nov","5.98"
"1993-12-31","1993Dec","5.85"
"1994-01-31","1994Jan","5.80"
"1994-02-28","1994Feb","6.07"
"1994-03-31","1994Mar","6.34"
"1994-04-30","1994Apr","6.48"
"1994-05-31","1994May","6.66"
"1994-06-30","1994Jun","7.05"
"1994-07-31","1994Jul","6.90"
"1994-08-31","1994Aug","7.09"
"1994-09-30","1994Sep","7.52"
"1994-10-31","1994Oct","7.54"
"1994-11-30","1994Nov","7.49"
"1994-12-31","1994Dec","7.46"
"1995-01-31","1995Jan","7.60"
"1995-02-28","1995Feb","7.42"
"1995-03-31","1995Mar","7.28"
"1995-04-30","1995Apr","7.09"
"1995-05-31","1995May","6.86"
"1995-06-30","1995Jun","6.78"
"1995-07-31","1995Jul","6.86"
"1995-08-31","1995Aug","6.74"
"1995-09-30","1995Sep","6.59"
"1995-10-31","1995Oct","6.57"
"1995-11-30","1995Nov","6.34"
"1995-12-31","1995Dec","6.07"
"1996-01-31","1996Jan","5.89"
"1996-02-29","1996Feb","6.20"
"1996-03-31","1996Mar","6.44"
"1996-04-30","1996Apr","6.38"
"1996-05-31","1996May","6.45"
"1996-06-30","1996Jun","6.56"
"1996-07-31","1996Jul","6.48"
"1996-08-31","1996Aug","6.30"
"1996-09-30","1996Sep","6.23"
"1996-10-31","1996Oct","6.01"
"1996-11-30","1996Nov","5.86"
"1996-12-31","1996Dec","5.79"
"1997-01-31","1997Jan","5.80"
"1997-02-28","1997Feb","5.55"
"1997-03-31","1997Mar","5.71"
"1997-04-30","1997Apr","5.87"
"1997-05-31","1997May","5.76"
"1997-06-30","1997Jun","5.72"
"1997-07-31","1997Jul","5.56"
"1997-08-31","1997Aug","5.66"
"1997-09-30","1997Sep","5.59"
"1997-10-31","1997Oct","5.58"
"1997-11-30","1997Nov","5.56"
"1997-12-31","1997Dec","5.33"
"1998-01-31","1998Jan","5.11"
"1998-02-28","1998Feb","4.99"
"1998-03-31","1998Mar","4.90"
"1998-04-30","1998Apr","4.90"
"1998-05-31","1998May","4.96"
"1998-06-30","1998Jun","4.80"
"1998-07-31","1998Jul","4.68"
"1998-08-31","1998Aug","4.42"
"1998-09-30","1998Sep","4.06"
"1998-10-31","1998Oct","4.06"
"1998-11-30","1998Nov","4.12"
"1998-12-31","1998Dec","3.86"
"1999-01-31","1999Jan","3.70"
"1999-02-28","1999Feb","3.85"
"1999-03-31","1999Mar","4.04"
"1999-04-30","1999Apr","3.85"
"1999-05-31","1999May","4.01"
"1999-06-30","1999Jun","4.36"
"1999-07-31","1999Jul","4.68"
"1999-08-31","1999Aug","4.88"
"1999-09-30","1999Sep","5.04"
"1999-10-31","1999Oct","5.29"
"1999-11-30","1999Nov","5.04"
"1999-12-31","1999Dec","5.15"
"2000-01-31","2000Jan","5.54"
"2000-02-29","2000Feb","5.51"
"2000-03-31","2000Mar","5.33"
"2000-04-30","2000Apr","5.22"
"2000-05-31","2000May","5.38"
"2000-06-30","2000Jun","5.19"
"2000-07-31","2000Jul","5.27"
"2000-08-31","2000Aug","5.21"
"2000-09-30","2000Sep","5.26"
"2000-10-31","2000Oct","5.21"
"2000-11-30","2000Nov","5.15"
"2000-12-31","2000Dec","4.89"
"2001-01-31","2001Jan","4.80"
"2001-02-28","2001Feb","4.78"
"2001-03-31","2001Mar","4.67"
"2001-04-30","2001Apr","4.83"
"2001-05-31","2001May","5.05"
"2001-06-30","2001Jun","5.00"
"2001-07-31","2001Jul","5.02"
"2001-08-31","2001Aug","4.82"
"2001-09-30","2001Sep","4.81"
"2001-10-31","2001Oct","4.60"
"2001-11-30","2001Nov","4.45"
"2001-12-31","2001Dec","4.74"
"2002-01-31","2002Jan","4.86"
"2002-02-28","2002Feb","4.92"
"2002-03-31","2002Mar","5.16"
"2002-04-30","2002Apr","5.15"
"2002-05-31","2002May","5.17"
"2002-06-30","2002Jun","5.02"
"2002-07-31","2002Jul","4.87"
"2002-08-31","2002Aug","4.59"
"2002-09-30","2002Sep","4.38"
"2002-10-31","2002Oct","4.46"
"2002-11-30","2002Nov","4.48"
"2002-12-31","2002Dec","4.33"
"2003-01-31","2003Jan","4.18"
"2003-02-28","2003Feb","3.95"
"2003-03-31","2003Mar","4.00"
"2003-04-30","2003Apr","4.15"
"2003-05-31","2003May","3.82"
"2003-06-30","2003Jun","3.62"
"2003-07-31","2003Jul","3.97"
"2003-08-31","2003Aug","4.13"
"2003-09-30","2003Sep","4.17"
"2003-10-31","2003Oct","4.22"
"2003-11-30","2003Nov","4.35"
"2003-12-31","2003Dec","4.29"
"2004-01-31","2004Jan","4.17"
"2004-02-29","2004Feb","4.11"
"2004-03-31","2004Mar","3.91"
"2004-04-30","2004Apr","4.10"
"2004-05-31","2004May","4.25"
"2004-06-30","2004Jun","4.31"
"2004-07-31","2004Jul","4.24"
"2004-08-31","2004Aug","4.08"
"2004-09-30","2004Sep","4.02"
"2004-10-31","2004Oct","3.89"
"2004-11-30","2004Nov","3.78"
"2004-12-31","2004Dec","3.58"
"2005-01-31","2005Jan","3.56"
"2005-02-28","2005Feb","3.54"
"2005-03-31","2005Mar","3.70"
"2005-04-30","2005Apr","3.48"
"2005-05-31","2005May","3.30"
"2005-06-30","2005Jun","3.13"
"2005-07-31","2005Jul","3.20"
"2005-08-31","2005Aug","3.23"
"2005-09-30","2005Sep","3.07"
"2005-10-31","2005Oct","3.24"
"2005-11-30","2005Nov","3.45"
"2005-12-31","2005Dec","3.34"
"2006-01-31","2006Jan","3.32"
"2006-02-28","2006Feb","3.47"
"2006-03-31","2006Mar","3.64"
"2006-04-30","2006Apr","3.89"
"2006-05-31","2006May","3.96"
"2006-06-30","2006Jun","3.96"
"2006-07-31","2006Jul","4.01"
"2006-08-31","2006Aug","3.88"
"2006-09-30","2006Sep","3.75"
"2006-10-31","2006Oct","3.79"
"2006-11-30","2006Nov","3.71"
"2006-12-31","2006Dec","3.77"
"2007-01-31","2007Jan","4.02"
"2007-02-28","2007Feb","4.05"
"2007-03-31","2007Mar","3.94"
"2007-04-30","2007Apr","4.15"
"2007-05-31","2007May","4.28"
"2007-06-30","2007Jun","4.56"
"2007-07-31","2007Jul","4.50"
"2007-08-31","2007Aug","4.30"
"2007-09-30","2007Sep","4.22"
"2007-10-31","2007Oct","4.28"
"2007-11-30","2007Nov","4.09"
"2007-12-31","2007Dec","4.21"
"2008-01-31","2008Jan","4.03"
"2008-02-29","2008Feb","3.95"
"2008-03-31","2008Mar","3.80"
"2008-04-30","2008Apr","4.04"
"2008-05-31","2008May","4.20"
"2008-06-30","2008Jun","4.52"
"2008-07-31","2008Jul","4.49"
"2008-08-31","2008Aug","4.20"
"2008-09-30","2008Sep","4.09"
"2008-10-31","2008Oct","3.88"
"2008-11-30","2008Nov","3.56"
"2008-12-31","2008Dec","3.05"
"2009-01-31","2009Jan","3.07"
"2009-02-28","2009Feb","3.13"
"2009-03-31","2009Mar","3.02"
"2009-04-30","2009Apr","3.13"
"2009-05-31","2009May","3.37"
"2009-06-30","2009Jun","3.47"
"2009-07-31","2009Jul","3.34"
"2009-08-31","2009Aug","3.31"
"2009-09-30","2009Sep","3.26"
"2009-10-31","2009Oct","3.21"
"2009-11-30","2009Nov","3.22"
"2009-12-31","2009Dec","3.14"
"2010-01-31","2010Jan","3.26"
"2010-02-28","2010Feb","3.17"
"2010-03-31","2010Mar","3.10"
"2010-04-30","2010Apr","3.06"
"2010-05-31","2010May","2.73"
"2010-06-30","2010Jun","2.54"
"2010-07-31","2010Jul","2.62"
"2010-08-31","2010Aug","2.35"
"2010-09-30","2010Sep","2.30"
"2010-10-31","2010Oct","2.35"
"2010-11-30","2010Nov","2.53"
"2010-12-31","2010Dec","2.91"
"2011-01-31","2011Jan","3.02"
"2011-02-28","2011Feb","3.20"
"2011-03-31","2011Mar","3.21"
"2011-04-30","2011Apr","3.34"
"2011-05-31","2011May","3.06"
"2011-06-30","2011Jun","2.89"
"2011-07-31","2011Jul","2.74"
"2011-08-31","2011Aug","2.21"
"2011-09-30","2011Sep","1.83"
"2011-10-31","2011Oct","2.00"
"2011-11-30","2011Nov","1.87"
"2011-12-31","2011Dec","1.93"
"2012-01-31","2012Jan","1.82"
"2012-02-29","2012Feb","1.85"
"2012-03-31","2012Mar","1.83"
"2012-04-30","2012Apr","1.62"
"2012-05-31","2012May","1.34"
"2012-06-30","2012Jun","1.30"
"2012-07-31","2012Jul","1.24"
"2012-08-31","2012Aug","1.34"
"2012-09-30","2012Sep","1.49"
"2012-10-31","2012Oct","1.47"
"2012-11-30","2012Nov","1.34"
"2012-12-31","2012Dec","1.30"
"2013-01-31","2013Jan","1.51"
"2013-02-28","2013Feb","1.54"
"2013-03-31","2013Mar","1.35"
"2013-04-30","2013Apr","1.20"
"2013-05-31","2013May","1.29"
"2013-06-30","2013Jun","1.53"
"2013-07-31","2013Jul","1.56"
"2013-08-31","2013Aug","1.73"
"2013-09-30","2013Sep","1.89"
"2013-10-31","2013Oct","1.76"
"2013-11-30","2013Nov","1.68"
"2013-12-31","2013Dec","1.80"
"2014-01-31","2014Jan","1.76"
"2014-02-28","2014Feb","1.56"
"2014-03-31","2014Mar","1.51"
"2014-04-30","2014Apr","1.46"
"2014-05-31","2014May","1.33"
"2014-06-30","2014Jun","1.26"
"2014-07-31","2014Jul","1.11"
"2014-08-31","2014Aug","0.95"
"2014-09-30","2014Sep","0.92"
"2014-10-31","2014Oct","0.79"
"2014-11-30","2014Nov","0.72"
"2014-12-31","2014Dec","0.59"
"2015-01-31","2015Jan","0.39"
"2015-02-28","2015Feb","0.30"
"2015-03-31","2015Mar","0.23"
"2015-04-30","2015Apr","0.12"
"2015-05-31","2015May","0.56"
"2015-06-30","2015Jun","0.79"
"2015-07-31","2015Jul","0.71"
"2015-08-31","2015Aug","0.61"
"2015-09-30","2015Sep","0.65"
"2015-10-31","2015Oct","0.52"
"2015-11-30","2015Nov","0.52"
"2015-12-31","2015Dec","0.55"
"2016-01-31","2016Jan","0.43"
"2016-02-29","2016Feb","0.17"
"2016-03-31","2016Mar","0.17"
"2016-04-30","2016Apr","0.13"
"2016-05-31","2016May","0.13"
"2016-06-30","2016Jun","-0.02"
"2016-07-31","2016Jul","-0.15"
"2016-08-31","2016Aug","-0.13"
"2016-09-30","2016Sep","-0.09"
"2016-10-31","2016Oct","0.00"
"2016-11-30","2016Nov","0.19"
"2016-12-31","2016Dec","0.25"
"2017-01-31","2017Jan","0.25"
"2017-02-28","2017Feb","0.26"
"2017-03-31","2017Mar","0.35"
"2017-04-30","2017Apr","0.22"
"2017-05-31","2017May","0.34"
"2017-06-30","2017Jun","0.25"
"2017-07-31","2017Jul","0.46"
"2017-08-31","2017Aug","0.35"
"2017-09-30","2017Sep","0.35"
"2017-10-31","2017Oct","0.37"
"2017-11-30","2017Nov","0.31"
"2017-12-31","2017Dec","0.30"
"2018-01-31","2018Jan","0.47"
"2018-02-28","2018Feb","0.66"
"2018-03-31","2018Mar","0.53"
"2018-04-30","2018Apr","0.48"
"2018-05-31","2018May","0.45"
"2018-06-30","2018Jun","0.33"
"2018-07-31","2018Jul","0.28"
"2018-08-31","2018Aug","0.29"
"2018-09-30","2018Sep","0.37"
"2018-10-31","2018Oct","0.40"
"2018-11-30","2018Nov","0.31"
"2018-12-31","2018Dec","0.19"
"2019-01-31","2019Jan","0.13"
"2019-02-28","2019Feb","0.06"
"2019-03-31","2019Mar","0.01"
"2019-04-30","2019Apr","-0.04"
"2019-05-31","2019May","-0.13"
"2019-06-30","2019Jun","-0.31"
"2019-07-31","2019Jul","-0.39"
"2019-08-31","2019Aug","-0.65"
"2019-09-30","2019Sep","-0.59"
"2019-10-31","2019Oct","-0.47"
"2019-11-30","2019Nov","-0.35"
"2019-12-31","2019Dec","-0.30"
"2020-01-31","2020Jan","-0.31"
"2020-02-29","2020Feb","-0.47"
"2020-03-31","2020Mar","-0.54"
"2020-04-30","2020Apr","-0.45"
"2020-05-31","2020May","-0.52"
"2020-06-30","2020Jun","-0.43"
"2020-07-31","2020Jul","-0.52"
"2020-08-31","2020Aug","-0.52"
"2020-09-30","2020Sep","-0.52"
"2020-10-31","2020Oct","-0.61"
"2020-11-30","2020Nov","-0.61"
"2020-12-31","2020Dec","-0.62"
"2021-01-31","2021Jan","-0.58"
"2021-02-28","2021Feb","-0.45"
"2021-03-31","2021Mar","-0.36"
"2021-04-30","2021Apr","-0.33"
"2021-05-31","2021May","-0.22"
"2021-06-30","2021Jun","-0.29"
"2021-07-31","2021Jul","-0.45"
"2021-08-31","2021Aug","-0.54"
"2021-09-30","2021Sep","-0.36"
"2021-10-31","2021Oct","-0.21"
"2021-11-30","2021Nov","-0.31"
"2021-12-31","2021Dec","-0.38"
"2022-01-31","2022Jan","-0.12"
"2022-02-28","2022Feb","0.15"
"2022-03-31","2022Mar","0.28"
"2022-04-30","2022Apr","0.75"
"2022-05-31","2022May","0.95"
"2022-06-30","2022Jun","1.45"
"2022-07-31","2022Jul","1.08"
"2022-08-31","2022Aug","1.03"
"2022-09-30","2022Sep","1.80"
"2022-10-31","2022Oct","2.19"
"2022-11-30","2022Nov","2.07"
"2022-12-31","2022Dec","2.09"
"2023-01-31","2023Jan","2.19"
"2023-02-28","2023Feb","2.37"
"2023-03-31","2023Mar","2.38"
"2023-04-30","2023Apr","2.36"
"2023-05-31","2023May","2.34"
"2023-06-30","2023Jun","2.38"
"2023-07-31","2023Jul","2.46"
"2023-08-31","2023Aug","2.55"
"2023-09-30","2023Sep","2.66"
"2023-10-31","2023Oct","2.82"
"2023-11-30","2023Nov","2.60"
"2023-12-31","2023Dec","2.10"
"2024-01-31","2024Jan","2.18"
"2024-02-29","2024Feb","2.33"
"2024-03-31","2024Mar","2.35"
"2024-04-30","2024Apr","2.45"
"2024-05-31","2024May","2.52"
"2024-06-30","2024Jun","2.48"
"2024-07-31","2024Jul","2.46"
"2024-08-31","2024Aug","2.21"
"2024-09-30","2024Sep","2.17"
"2024-10-31","2024Oct","2.23"
"2024-11-30","2024Nov","2.31"
"2024-12-31","2024Dec","2.18"
"2025-01-31","2025Jan","2.48"
"2025-02-28","2025Feb","2.41"
"2025-03-31","2025Mar","2.74"
"2025-04-30","2025Apr","2.51"
"2025-05-31","2025May","2.56"
"2025-06-30","2025Jun","2.52"
"2025-07-31","2025Jul","2.63"
"2025-08-31","2025Aug","2.67"
"2025-09-30","2025Sep","2.69"
